Countries,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Australia,3309,3294,3320,3322,3313,3205,3152,3060,2876,2888,2843,2819,2632,2540,2453,2393,2259,2192,2116,2122,1972,1969,1767,1703,1668,1488,1484,1436,1374,1482,1353,1308,1393,1316,1277,1219,1180,1201,1130,1064,1009,971.8,964.6,916.1,830.9,789.9,756.4
Denmark,2227,2166,2177,2249,2265,2179,2163,2159,2056,2028,2022,2046,2149,1960,1988,2000,1965,1922,1882,1862,1854,1821,1802,1756,1720,1692,1089.9,1103.7,1111.6,1140,1126.1,1139,1125.8,1225.4,1265.7,1225.5,1256.8,1203.7,1187,1167.2,1133.9,1012.7,992.5,1015.3,836.1,832.9,818.4
Finland,1660,1698,1784,1720,1773,1746,1537,1563,1526,1572,1492,1406,1437,1457,1514,1379,1424,1496,1429,1451,1375,1355,1387,1241,1185,1072,1001,1010,1019,1048,957,1000,1012,767,988,761,787,952,1257,567,812,1221,544,1286,824,918,663
France,2411,2422,2361,2389,2484,2560,2489,2517,2418,2440,2397,2327,2297,2283,2273,2323,2232,2195,2126,2122,2250.9,2260.7,2248.3,2171,2118.8,2074.9,2031.2,1958.5,1967.9,1956.7,1915.5,1919.2,1840,1603.1,1312.9,1297.1,1306.5,1277.8,1245.8,1265.1,1261.3,1246.7,1198.8,1120.1,1028,1040,1022
Hungary,2780,2885,2880,2750,2750,2890,2900,2910,3050,2935,3005,2974,2833,2777,2802,2705,2775,2676,2672,2711,2507,2242,2105,1971,1963,1833,1704,1820,1935,2050,1802,1795,1790,1786,1662,1657,1771,1767,1881,1878,1641,1755,1754,1636,1520,1637,1521
Iceland,2815,2655,2878,2832,3069,2992,3013,2760,2755,2834,2823,2932,2909,2979,3002,2833,2744,2736,2612,2493,2439,2419,2310,2186,2142,2059,2044,1973,1894,1913,1841,1762,1724,1618,1569,1532,1495,1479,1449,1415,1278,1230,1189,1051.2,1059.1,1040.3,980.8
Japan,2810,2969,3147,3260,3432,3422,3393,3497,3446,3468,3393,3406,3394,3305,3270,3192,3206,3162,3101,3136,3185,3215,3190,3227,3063,3170,3295,3077,3138,3081,2995,2933,2861,2731,2662,2595,2455,2341,2224,2117,1902,1872,1758,1776,1793,1655,1517
New Zealand,3114,3108,3173,3113,3112,3232,3154,3157,3066,2970,2856,2905,2832,2769,2779,2493,2304,2327,2317,1877,1971,1738,1560,1527,1470,1474,1502,1435,1367,1302,1339,1126,1182,1008,989,1024,1006,1004,1016,967,964,859,818,769,742,704,669
Norway,2104,2019,2072,2110,2079,2130,2197,2130,2150,2125,2169,2103,2061,1945,1943,1960,2006,1984,1983,1954,1956,1956,1979,1768,1852,1661,1678,1666,1662,1555,1509,1433,1391,1313,1241,1142,1114,1123,1146,1161,1123,1073,994,924,837,876,925.8
Turkey,904,923.5,954.6,1022.5,1071.9,1037,1056.2,1085.8,1127.1,1145,1081.6,1071.7,885,1011.3,949.6,940.4,951,1624.5,1520.8,1613.2,1557.3,1526.3,1537.9,1620.6,1687.2,1740.5,1767.5,1770.6,1844.4,1901.4,1817,1778.5,1662.6,1670.2,1649.9,1588.6,1576.4,1545.7,1528.5,1450.9,1211,1113.2,1173.7,1041.7,1021,1076.5,1077.8
United Kingdom,2680,2540,2680,2810,2770,2600,2560,3198,3238,3171,2954,2718,2484,2521,2535,2348,2224,2305,2222,2339,2298,2191,2194,1747,1932,1871,1797,1684,1535,1419,1259,1212,1224,1209,1178,1134,1007,1004,945.7,1086.4,1004.4,955.3,854.8,804.8,739.4,702.4,643.9
United States,3524,3515,3606,3593,3583,3506,3334,3270,3125,3175,3075,2957,2926,2808,2672,2676,2595,2495,2427,2236,2218,2191,2096,2132,1905,1860,1860,1860,1633,1588,2148,2075,2006,1916,1888,1807,1787,1690,1615,1472,1400,1374,1342,1277,1216,1222,1167
